Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter
(2017 VD),2017-Nov-02 01:10Ê±Ê< 00:01,9.90 | 0.02545,9.90 | 0.02544,27.58,27.58,20.8,180 m -  410 m
(2017 VW13),2017-Nov-03 04:26Ê±Ê< 00:01,10.97 | 0.02819,10.97 | 0.02819,10.64,10.63,20.7,190 m -  430 m
(2017 WN13),2017-Nov-03 18:45Ê±ÊÊÊÊ00:10,18.82 | 0.04835,18.54 | 0.04763,20.61,20.61,22.7,77 m -  170 m
(2017 UL44),2017-Nov-03 19:46Ê±Ê< 00:01,13.29 | 0.03415,13.23 | 0.03401,15.37,15.36,23.8,46 m -  100 m
(2017 VE),2017-Nov-04 05:13Ê±Ê< 00:01,0.88 | 0.00227,0.88 | 0.00227,14.08,13.99,26.6,13 m -   28 m
(2017 VG1),2017-Nov-04 13:18Ê±Ê< 00:01,7.72 | 0.01983,7.71 | 0.01982,7.06,7.04,24.2,38 m -   86 m
(2017 UX42),2017-Nov-05 01:40Ê±Ê< 00:01,10.44 | 0.02682,10.36 | 0.02663,2.60,2.56,28.5,5.3 m -   12 m
(2017 US7),2017-Nov-05 06:03Ê±ÊÊÊÊ00:07,7.05 | 0.01812,6.96 | 0.01788,8.77,8.76,27,11 m -   24 m
(2017 UJ7),2017-Nov-05 09:58Ê±Ê< 00:01,16.72 | 0.04295,16.65 | 0.04279,13.03,13.02,25.4,22 m -   49 m
(2017 UJ43),2017-Nov-05 11:04Ê±Ê< 00:01,4.54 | 0.01166,4.51 | 0.01160,7.29,7.26,27.7,7.7 m -   17 m
(2017 VL1),2017-Nov-05 17:04Ê±Ê< 00:01,3.39 | 0.00872,3.37 | 0.00866,10.16,10.13,26.5,13 m -   30 m
(2013 BD74),2017-Nov-06 05:24Ê±Ê< 00:01,10.54 | 0.02709,10.54 | 0.02709,9.04,9.03,24.2,38 m -   86 m
(2017 VB15),2017-Nov-07 01:02Ê±Ê< 00:01,12.96 | 0.03330,12.84 | 0.03300,9.13,9.12,25.7,19 m -   43 m
(2017 VU12),2017-Nov-08 08:56Ê±Ê< 00:01,7.34 | 0.01887,7.31 | 0.01879,10.82,10.81,27.1,10 m -   23 m
(2017 WR1),2017-Nov-08 09:12Ê±ÊÊÊÊ00:11,6.97 | 0.01792,6.81 | 0.01751,10.35,10.34,26.2,15 m -   34 m
(2017 VZ13),2017-Nov-09 01:08Ê±Ê< 00:01,6.88 | 0.01769,6.85 | 0.01761,4.74,4.71,27.9,7.0 m -   16 m
(2017 VL2),2017-Nov-09 09:50Ê±Ê< 00:01,0.31 | 0.00079,0.31 | 0.00079,8.73,8.34,26.1,16 m -   36 m
(2017 VF15),2017-Nov-09 15:19Ê±Ê< 00:01,14.00 | 0.03597,13.87 | 0.03563,11.47,11.46,26.4,14 m -   31 m
